burden_category,carrier,n,vte_n,vte_percent,wilson_95_low_percent,wilson_95_high_percent
0,0,208024,1475,0.7090528015998154,0.6738951989935997,0.7460308253820411
0,1,12912,215,1.6651177199504337,1.4583458205588378,1.9006413596717477
1,0,64496,1701,2.6373728603324236,2.5164953969382284,2.763891937029284
1,1,4007,204,5.091090591464936,4.452462105923387,5.8157437817705055
2+,0,64830,3589,5.536017275952491,5.362605182843851,5.714698424689956
2+,1,4264,369,8.653846153846153,7.846724349753463,9.535398814345577
