burden_category,exposure_value,adjusted_probability,adjusted_percent
0,0,0.009686660266122806,0.9686660266122806
0,1,0.02382473106648732,2.382473106648732
1,0,0.01964687925274187,1.9646879252741871
1,1,0.03959591928694298,3.9595919286942975
2+,0,0.03636095172462801,3.6360951724628015
2+,1,0.060577038790907874,6.057703879090788
