analysis_role,model,term,beta,standard_error,odds_ratio,ci_95_low,ci_95_high,p_value,n
supplement_s6_no_prior,no_prior_five_factor_burden,noprior5_1,0.5235741044610125,0.044207259850746354,1.68805014833378,1.5479444277758778,1.840836952644316,2.3220188341218615e-32,349427
supplement_s6_no_prior,no_prior_five_factor_burden,noprior5_2plus,0.9610011752476152,0.041574921389724837,2.614312548642952,2.409729087417105,2.8362649302282277,3.2773573359496044e-118,349427
supplement_s6_no_prior,no_prior_f5f2_five_factor,f5f2_carrier,0.5716300241099367,0.055123066971739555,1.7711517197611317,1.5897691433759549,1.9732288977198809,3.392786511524603e-25,349427
