model,term,beta,standard_error,hazard_ratio,ci_95_low,ci_95_high,p_value,n,events
five_factor_burden_cox,cox5_1,0.6792876649808408,0.03718545395694278,1.972472170673035,1.8338254140613215,2.121601344515719,1.4999837422289123e-74,347084,6749
five_factor_burden_cox,cox5_2plus,1.299280358978779,0.034077591405499146,3.6666570411238673,3.4297531128420444,3.9199246753019588,0.0,347084,6749
five_factor_burden_cox,age_per_10y,0.13071550194800624,0.009058150358127483,1.1396435088285035,1.119588858453347,1.160057388396263,3.3167010520466473e-47,347084,6749
five_factor_burden_cox,female_sex,-0.17623997116977794,0.024945500843688403,0.8384167633430801,0.7984099011487149,0.8804282963466826,1.6061563625916971e-12,347084,6749
five_factor_burden_cox,other_unknown_sex,-0.10547202110359466,0.09895169342899268,0.8998996506936595,0.7412499914354356,1.0925050801691745,0.28647153970977846,347084,6749
five_factor_burden_cox,genetic_pc1,-1.9563757747149428,0.2362810699075733,0.14136984977865713,0.08896727515679641,0.2246380412485113,1.233131845259487e-16,347084,6749
five_factor_burden_cox,genetic_pc2,2.799161566355156,0.5464325065614886,16.430864804406227,5.630250041413608,47.95050241727668,3.013324346921471e-07,347084,6749
five_factor_burden_cox,genetic_pc3,-3.7611904210102467,0.5081878118662334,0.023256039412332775,0.008589295740938077,0.06296713787257573,1.3497771276770745e-13,347084,6749
five_factor_burden_cox,genetic_pc4,2.7722003270540325,1.4526926806224703,15.993786883678359,0.9276717495131512,275.74540133917867,0.056350062468933114,347084,6749
five_factor_burden_cox,genetic_pc5,3.8890645936039525,2.3262605428161227,48.8651563591199,0.5115008303057382,4668.229970563251,0.09456188284790183,347084,6749
five_factor_burden_cox,genetic_pc6,3.1836608575245537,1.8036763504311506,24.134946623384998,0.7036003354753163,827.8785826901843,0.07754773101645897,347084,6749
five_factor_burden_cox,genetic_pc7,0.7886211914152559,2.2465992601623164,2.2003604578384555,0.02692464183086814,179.8198904495121,0.725566692469324,347084,6749
five_factor_burden_cox,genetic_pc8,3.7007993869081117,3.7760109652572154,40.47965033239217,0.0247190246025684,66289.10797970883,0.3270457731866351,347084,6749
five_factor_burden_cox,genetic_pc9,-7.04929824766552,4.106505852579776,0.0008680178771982299,2.773322145927332e-07,2.7167959417991954,0.08604915243794271,347084,6749
five_factor_burden_cox,genetic_pc10,-1.1960256963544704,4.11473332146227,0.3023936310157311,9.50694380593203e-05,961.8433636035729,0.7713044313840255,347084,6749
five_factor_burden_cox,genetic_pc11,-9.996445566402521,4.060530469293385,4.556158792956696e-05,1.592962448346001e-08,0.13031432704638227,0.01382197439658114,347084,6749
five_factor_burden_cox,genetic_pc12,10.575688690219264,4.099468258606365,39170.872073328894,12.68894197252374,120920816.11749445,0.00988658965173762,347084,6749
five_factor_burden_cox,genetic_pc13,-2.729891879337543,4.09363129853128,0.06522634160215443,2.1372420592486797e-05,199.0638178015524,0.5048595482982094,347084,6749
five_factor_burden_cox,genetic_pc14,2.904600514126866,4.095920806777139,18.257948402672355,0.00595571350544679,55971.913284576025,0.47823468898306964,347084,6749
five_factor_burden_cox,genetic_pc15,5.041284336375966,4.088805767184646,154.66853394042786,0.051161142669598515,467588.37162362033,0.21759521626580103,347084,6749
five_factor_burden_cox,genetic_pc16,5.4810839722333835,4.133434846183294,240.10683550568243,0.07277023070580879,792237.3187137757,0.18482772815445225,347084,6749
five_factor_burden_cox,ehr_observability_score_0_6,0.2918154576902882,0.012932348800357747,1.338855919276229,1.3053458881437932,1.3732261991723806,9.617551725108728e-113,347084,6749
f5_rs6025_carrier_cox_five_factor_adjusted,f5_rs6025_carrier,0.7542055572836679,0.047751081651911706,2.1259219291091696,1.9359795721937862,2.3344998643481856,3.3935043564849793e-56,347084,6749
f5_rs6025_carrier_cox_five_factor_adjusted,five_factor_count,0.4349593662496964,0.009246666545468322,1.544900282583601,1.5171535273403065,1.573154489717991,0.0,347084,6749
f5_rs6025_carrier_cox_five_factor_adjusted,age_per_10y,0.11149813162953448,0.009125533235218395,1.117951655255725,1.0981336823917913,1.1381272822511483,2.4834527043899076e-34,347084,6749
f5_rs6025_carrier_cox_five_factor_adjusted,female_sex,-0.1764446451926087,0.02494034820691391,0.8382451787713692,0.7982545657708351,0.8802392242566448,1.4980863232414958e-12,347084,6749
f5_rs6025_carrier_cox_five_factor_adjusted,other_unknown_sex,-0.11633202792771426,0.09895101803106102,0.8901796097330956,0.7332445357357597,1.080703229229562,0.23973370162549568,347084,6749
f5_rs6025_carrier_cox_five_factor_adjusted,genetic_pc1,-2.0556567583903895,0.2369733216102775,0.12800873715221375,0.08044959266636685,0.2036832784879352,4.148837932035838e-18,347084,6749
f5_rs6025_carrier_cox_five_factor_adjusted,genetic_pc2,2.569311194107882,0.5456480470759058,13.056827722926162,4.480976636284196,38.045445005386725,2.4926081164410533e-06,347084,6749
f5_rs6025_carrier_cox_five_factor_adjusted,genetic_pc3,-3.892320161027223,0.5097880934370707,0.020397964530490975,0.007510112568550659,0.05540222642328045,2.255178273182199e-14,347084,6749
f5_rs6025_carrier_cox_five_factor_adjusted,genetic_pc4,2.9068641373376405,1.466567388677368,18.299324330545637,1.0329223888661274,324.1920928077588,0.047469505679348246,347084,6749
f5_rs6025_carrier_cox_five_factor_adjusted,genetic_pc5,3.670745976156571,2.3408555171483085,39.28119777035112,0.39958417405694574,3861.545572757189,0.11685276873942825,347084,6749
f5_rs6025_carrier_cox_five_factor_adjusted,genetic_pc6,3.2050139480442486,1.819581816773922,24.655843914859794,0.6967236631996709,872.5276192890127,0.07817048931906759,347084,6749
f5_rs6025_carrier_cox_five_factor_adjusted,genetic_pc7,1.022623082741263,2.2636118773698803,2.780478632205925,0.03290745020312557,234.93346875655016,0.6514375023994787,347084,6749
f5_rs6025_carrier_cox_five_factor_adjusted,genetic_pc8,3.362015483131896,3.785406146616134,28.84727352047074,0.017294261041206224,48117.99634468865,0.3744590735659564,347084,6749
f5_rs6025_carrier_cox_five_factor_adjusted,genetic_pc9,-7.649302155427734,4.104819812279068,0.0004763764497744969,1.5270635813694722e-07,1.4860843036819622,0.062392964937792915,347084,6749
f5_rs6025_carrier_cox_five_factor_adjusted,genetic_pc10,-1.444009768918026,4.111986618037459,0.23597963526778576,7.45900423466762e-05,746.5659826589263,0.7254601897589301,347084,6749
f5_rs6025_carrier_cox_five_factor_adjusted,genetic_pc11,-9.898654531563977,4.059469406923792,5.024223594278946e-05,1.7602681841816693e-08,0.14340327770591618,0.014751994061063027,347084,6749
f5_rs6025_carrier_cox_five_factor_adjusted,genetic_pc12,10.94688973919042,4.098849418584944,56777.17862439995,18.414619345018288,175059171.85407978,0.007568816995586302,347084,6749
f5_rs6025_carrier_cox_five_factor_adjusted,genetic_pc13,-2.515182850550873,4.1023110368112325,0.08084812773037749,2.6044277627622853e-05,250.9733558735692,0.5398012021025669,347084,6749
f5_rs6025_carrier_cox_five_factor_adjusted,genetic_pc14,3.237754562132247,4.089446416954755,25.476451683882885,0.008416506724837233,77116.26825959331,0.4285156799755325,347084,6749
f5_rs6025_carrier_cox_five_factor_adjusted,genetic_pc15,4.740681334855579,4.090569461991018,114.51219625762863,0.037747546051934006,347387.9619539876,0.24648495163224282,347084,6749
f5_rs6025_carrier_cox_five_factor_adjusted,genetic_pc16,5.678018845371337,4.1288509530222015,292.3696263334203,0.08940943883623421,956051.1676950827,0.16906772068483433,347084,6749
f5_rs6025_carrier_cox_five_factor_adjusted,ehr_observability_score_0_6,0.3077076526474552,0.012424812843297477,1.3603032497472616,1.3275763936377212,1.3938368745790748,2.106923168589511e-135,347084,6749
f2_rs1799963_carrier_cox_five_factor_adjusted,f2_rs1799963_carrier,0.4395900233756333,0.06856029285654901,1.552070775319591,1.3569124336125808,1.7752978246265676,1.438783566150922e-10,347084,6749
f2_rs1799963_carrier_cox_five_factor_adjusted,five_factor_count,0.434044563107009,0.009244665915175488,1.5434876491892044,1.5157722088461552,1.5717098580486086,0.0,347084,6749
f2_rs1799963_carrier_cox_five_factor_adjusted,age_per_10y,0.11229210451245651,0.009124898506640474,1.1188396310221076,1.0990072842158745,1.1390298662477276,8.396259420548044e-35,347084,6749
f2_rs1799963_carrier_cox_five_factor_adjusted,female_sex,-0.17570095280689516,0.024939852661298563,0.838868807193294,0.7988492183140871,0.8808932393612517,1.8547802024606923e-12,347084,6749
