analysis_role,model,term,beta,standard_error,odds_ratio,ci_95_low,ci_95_high,p_value,n
main_table2,primary_five_factor_burden,primary5_1,0.6973433569643126,0.035981240957353396,2.0084099853596227,1.8716494945137299,2.1551634967530235,1.1220456278424975e-83,358533
main_table2,primary_five_factor_burden,primary5_2plus,1.3188335699627924,0.033243453270548166,3.7390574837075383,3.5031984762746164,3.9907961142231927,0.0,358533
main_table2,primary_five_factor_mutually_adjusted,cancer_history,0.44547206173850945,0.029673866735289923,1.5612270174464016,1.4730149443337455,1.654721704881991,6.10241970502908e-51,358533
main_table2,primary_five_factor_mutually_adjusted,major_surgery,0.3460519606167447,0.03007039310513156,1.4134760589973634,1.3325761053428227,1.4992874038100275,1.2014750096085635e-30,358533
main_table2,primary_five_factor_mutually_adjusted,inpatient_hospitalization,0.28975479837749446,0.02979989180988609,1.336099834009337,1.2602964996083308,1.4164625284562506,2.3975925503439284e-22,358533
main_table2,primary_five_factor_mutually_adjusted,infection_or_sepsis,0.9880527231490507,0.031399898295020684,2.6859989928791297,2.52567643649382,2.8564983564415316,2.477088349762063e-217,358533
main_table2,primary_five_factor_mutually_adjusted,fracture_or_major_trauma,0.2244572727937421,0.027489970593951894,1.2516432309870045,1.1859888870589834,1.3209320886306708,3.212741828996807e-16,358533
