contrast,burden_category,estimate,percentage_points,standard_error,p_value
carrier_minus_noncarrier_risk_difference,0,0.014138070800364515,1.4138070800364515,0.0016206557566707468,2.693202120713899e-18
carrier_minus_noncarrier_risk_difference,1,0.019949040034201105,1.9949040034201104,0.002750281880944809,4.0627875840323767e-13
carrier_minus_noncarrier_risk_difference,2+,0.02421608706627986,2.421608706627986,0.0031254706081875866,9.336506384809932e-15
difference_in_risk_differences_vs_reference,1,0.00581096923383659,0.581096923383659,0.003184531358518052,0.06803897105751873
difference_in_risk_differences_vs_reference,2+,0.010078016265915346,1.0078016265915346,0.003509755431782204,0.004086195551972478
