analysis_role,model,term,beta,standard_error,odds_ratio,ci_95_low,ci_95_high,p_value,n
supplement_s6_anticoagulant,five_factor_burden_plus_anticoagulant,anticoag5_1,0.3570998736555733,0.03842710152818215,1.4291786000175175,1.3254907320216038,1.5409775575214966,1.5011636394840724e-20,358533
supplement_s6_anticoagulant,five_factor_burden_plus_anticoagulant,anticoag5_2plus,0.5353692418831772,0.03936761909761252,1.7080788200693147,1.5812389865659504,1.8450931708340457,4.046804710577715e-42,358533
supplement_s6_anticoagulant,f5_rs6025_carrier_plus_anticoagulant,f5_rs6025_carrier,0.7446522038290062,0.047696516531652494,2.10570895010032,1.917777630315832,2.31205647226283,6.003559100022971e-55,358533
supplement_s6_anticoagulant,f2_rs1799963_carrier_plus_anticoagulant,f2_rs1799963_carrier,0.4828239431506958,0.06630049583182142,1.6206445543197638,1.4231531973444134,1.8455418407149016,3.2803526923391664e-13,358533
supplement_s6_anticoagulant,f5f2_carrier_plus_anticoagulant,f5f2_carrier,0.66194406753558,0.04037951006432718,1.938557359913571,1.7910467541833348,2.0982169387245366,2.1434654103786994e-60,358533
