domain,feature_name,concept_id,concept_name,final_disposition,target_feature,final_rationale,definition_source,infection_scope,manual_override_applied_05A,manual_override_applied_05A1,feature_label,status
condition,cancer_history,4113124,Benign neoplasm of bone structure of spine,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,379769,Benign neoplasm of brain,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,4093950,"Benign neoplasm of brain, supratentorial",EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,442109,Benign neoplasm of bronchus,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,261255,Benign neoplasm of bronchus and lung,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,4149471,Benign neoplasm of canthus,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,24884,Benign neoplasm of carotid body,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,442108,Benign neoplasm of cecum,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,4239871,Benign neoplasm of central nervous system,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,376063,Benign neoplasm of cerebral meninges,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,4239872,Benign neoplasm of cheek,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,436948,Benign neoplasm of choroid,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,37109300,Benign neoplasm of choroid of right eye,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,4239873,Benign neoplasm of ciliary body,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
