marker,cochran_Q,df,p_value,I2_percent,holm_adjusted_p
Factor V Leiden,2.0398695605923614,2,0.3606184588352071,1.9545151985494387,0.3606184588352071
Prothrombin G20210A,3.6110703581577694,2,0.1643864568388937,44.614759568951634,0.3287729136777874
