marker,marker_column,ancestry,ancestry_n,min_variant_vte_2x2_cell,beta,standard_error,adjusted_or,ci_95_low,ci_95_high,p_value,model_n
Factor V Leiden,f5_rs6025_carrier,EUR,202939,467,0.8119095203844899,0.05136667464904306,2.25220451364688,2.0364963138691667,2.490760791829871,2.8217981241690196e-56,202939
Factor V Leiden,f5_rs6025_carrier,AFR,64483,26,0.5207274198967407,0.21002075560154387,1.683251635199877,1.1152590825119537,2.540518263273315,0.01316001859409419,64483
Factor V Leiden,f5_rs6025_carrier,AMR,57346,31,0.7014629492993828,0.19129457992394888,2.016700881571807,1.3861436966752174,2.9340987196982122,0.00024548439733667395,57346
Prothrombin G20210A,f2_rs1799963_carrier,EUR,202939,186,0.4601302892356403,0.07855840027837162,1.584280386228822,1.3581939302075465,1.8480014424786886,4.708072683080493e-09,202939
Prothrombin G20210A,f2_rs1799963_carrier,AFR,64483,21,0.9334688934372236,0.2452066779176028,2.543316386673934,1.572809962631108,4.1126762904675775,0.00014073911720329993,64483
Prothrombin G20210A,f2_rs1799963_carrier,AMR,57346,39,0.5937840918453158,0.170461121438336,1.8108278055285179,1.2965155163839188,2.529161664351601,0.0004950899785408175,57346
